업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
봉추찜닭-충정로점,2021년 10월 6일,4,3,5,"
            순살 찜닭 中（ 2~3인）/2(추가 선택(당면사리 추가),추가 선택(서비스 콜라 355ml),추가 선택(젓가락 4개)),공기밥/6
          ",고기가 넘 쪼끔이에여
봉추찜닭-충정로점,2021년 3월 27일,4,2,5,"
            찜닭반마리（2인）/1(추가 선택(당면사리 추가),추가 선택(서비스 콜라 355ml))
          ","물건을 잘못담아주신건지 배달기사분이 잘못하신건지
동치미가 다 쏟아져서 홍수가나서 왔네요.. 당면추가를 했는데 리뷰랑은 다르게 당면양도 기본양이구.. 근데 맛은 괜찮습니다~ 참고하세요"
봉추찜닭-충정로점,2021년 3월 2일,5,3,5,"
            찜닭반마리（2인）/1(추가 선택(서비스 사이다 355ml))
          ",맛있게 잘 먹었습니다 배송은 좀걸렸지만 맛있었어요~
봉추찜닭-충정로점,2020년 12월 28일,3,3,5,"
            찜닭반마리（2인）/1(추가 선택(당면사리 추가),추가 선택(서비스 콜라 355ml))
          ",잘 먹었습니다......
봉추찜닭-충정로점,2020년 7월 4일,4,3,5,"
            찜닭小（2인）/1(추가 선택(서비스 사이다 355ml),추가 선택(젓가락 2개))
          ","2인분이 닭반마리 더라구요
둘이서 맛있게 잘 먹었습니다"
봉추찜닭-충정로점,2020년 6월 21일,1,1,5,"
            찜닭小（2인）/1(추가 선택(서비스 콜라 355ml))
          ",맛이없대요~~애들이
봉추찜닭-충정로점,2020년 2월 27일,1,1,5,"
            찜닭小（2인）/1(추가 선택(당면사리 추가),추가 선택(서비스 콜라 355ml),추가 선택(젓가락 2개))
          ","저번에 먹엇을때 맛잇엇는데
최악이네요 밍밍한국물, 병아리같은 닭 너무하다 싶을정도로 닭이작고 먹을게없음 당면좋아하시는분께는 추천 당면만 엄청많음.. 진짜 맛잇어서 꾀 시켜먹엇는데 손절합니다"
봉추찜닭-충정로점,2020년 2월 14일,3,5,3,"
            찜닭中（3인）/1(추가 선택(서비스 콜라 355ml))
          ",살이 퍽퍽한거 말곤 당면도 많고 좋앗어요
봉추찜닭-충정로점,2020년 2월 6일,3,3,5,"
            찜닭小（2인）/1(추가 선택(서비스 콜라 355ml),추가 선택(젓가락 4개))
          ","먹기전에 올립니다...
배달왔는데 사진에서 보다시피 뚜껑이 꽉 닫혀져있지 않은 상태에서 국물이 다 새서 기분이 별로 좋지않네요..
음식은 먹어봐야 알겠지만 다음부터는 더 신경써서 보내주셨으면 좋겠습니다."
봉추찜닭-충정로점,2019년 12월 13일,3,3,5,"
            찜닭小（2인）/1(추가 선택(당면사리 추가),추가 선택(서비스 사이다 355ml))
          ",배달도 빠르고 좋았어요 :) 제가 당면 욕심을 너무 많이 부린건지 추가까지했더니 결국 다못먹었어요 ㅠㅠㅠㅠㅠ 먹어도먹어듀 끝이 안나더라고요..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 맛은 평범한 찜닭맛이라 무난하게 먹을수잇을것같고요 저는 맵찔이라서 쵸큼 매웠어요 ㅎㅎㅎㅎ 사장님 손편지에 감동받고 갑니다~
봉추찜닭-충정로점,2019년 12월 7일,3,1,5,"
            찜닭小（2인）/1(추가 선택(서비스 사이다 355ml))
          ","닭 양이 적네요. 기대가 컸나봐요.
당면은 많이 주셨어요."
봉추찜닭-충정로점,2019년 12월 1일,3,5,5,"
            찜닭小（2인）/1(추가 선택(서비스 콜라 355ml),추가 선택(젓가락 2개))
          ","잘먹었어요 양많아요
배달빠르고"
봉추찜닭-충정로점,2019년 11월 15일,3,4,5,"
            찜닭小（2인）/1(추가 선택(서비스 콜라 355ml),추가 선택(젓가락 3개))
          ","손글씨 편지와 서비스 콜라 좋았어요
비오는 날인데 배달도 빨랐네요"
봉추찜닭-충정로점,2019년 3월 28일,3,3,5,"
            찜닭小（2인）/1(추가 선택(당면사리 추가),추가 선택(서비스 콜라 355ml),추가 선택(젓가락 개수선택)),공기밥/1
          ",잘먹었습니더!!!!!
봉추찜닭-충정로점,2019년 3월 4일,3,5,5,"
            찜닭小（2인）/1(추가 선택(당면사리 추가),추가 선택(서비스 콜라 355ml))
          ","사이다를 신청했는데 콜라가와서 살짝 아쉽긴했지만ㅠ
양도 풍성하고 맛도있었어요.:)
임신중이라서 큰 냄비에 옮겼는데 한가득차더라구요.
쪽지도 기분좋았어요-^-^"
봉추찜닭-충정로점,2019년 1월 19일,3,5,5,"
            찜닭小（2인）/1
          ","배달도 빠르고 콜라에 손편지까지 감사합니다...!
맛은 국물이 좀 많고 간이 덜 베어있어서 살짝 아쉬웠습니다. 그래도 당면 정말 많이 주시고 잘 먹었습니다~!"
봉추찜닭-충정로점,2018년 11월 23일,1,1,5,"
            찜닭小（2인）/1
          ",닭고기가 한마리도 안들어간 듯 . 고기양이 너무 적다   매장가서 먹으면 많은데 .. 양이 너무 적고 맛은 그냥 쏘쏘
봉추찜닭-충정로점,2018년 10월 30일,1,1,4,"
            찜닭小（2인）/1,소주/2
          ",ㅇㅏ~~~~주  잘 먹었습니다.
